Title;Link;Year;PriceUsd;PriceGrv;Region
MINI Cooper S;https://auto.ria.com/auto_mini_cooper_28562985.html; 2014 ;16 600;471 274;Измаил
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31795504.html; 2010 ;8 999;255 572;Одесса
MINI Clubman;https://auto.ria.com/auto_mini_clubman_31911705.html; 2017 ;21 800;613 670;Киев
MINI Cooper S;https://auto.ria.com/auto_mini_cooper_31807078.html; 2015 ;14 500;408 465;Киев
MINI Countryman Cooper S;https://auto.ria.com/auto_mini_countryman_31849019.html; 2014 ;14 800;420 320;Львов
MINI Cooper  s;https://auto.ria.com/auto_mini_cooper_31380697.html; 2014 ;13 200;364 056;Одесса
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31941546.html; 2009 ;6 900;194 442;Львов
MINI Countryman;https://auto.ria.com/auto_mini_countryman_31727085.html; 2014 ;11 400;319 200;Харьков
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31941335.html; 2004 ;6 250;176 063;Староконстантинов
MINI Paceman;https://auto.ria.com/auto_mini_paceman_31939044.html; 2014 ;13 800;388 470 с НДС;Стрый
MINI Cooper S;https://auto.ria.com/auto_mini_cooper_31928139.html; 2013 ;12 900;363 135;Киев
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31767184.html; 2012 ;8 500;237 320;Киев
MINI Cooper S;https://auto.ria.com/auto_mini_cooper_31653758.html; 2011 ;10 000;281 800;Киев
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31845287.html; 2015 ;13 000;365 950;Днепр(Днепропетровск)
MINI Countryman COOPER S ALL4 LIFT;https://auto.ria.com/auto_mini_countryman_31807629.html; 2015 ;21 900;621 960;Киев
MINI Cooper S;https://auto.ria.com/auto_mini_cooper_31332176.html; 2017 ;19 700;554 555;Днепр(Днепропетровск)
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31947993.html; 2011 ;9 800;265 972;Киев
MINI Countryman;https://auto.ria.com/auto_mini_countryman_31438257.html; 2011 ;11 400;320 910;Херсон
MINI Countryman D;https://auto.ria.com/auto_mini_countryman_31944532.html; 2011 ;11 950;339 380;Ивано-Франковск
MINI Cooper AWT Bavaria;https://auto.ria.com/auto_mini_cooper_31743070.html; 2017 ;20 005;568 128;Киев
MINI Cooper S;https://auto.ria.com/auto_mini_cooper_31889701.html; 2011 ;9 900;277 200;Днепр(Днепропетровск)
MINI Cooper S;https://auto.ria.com/auto_mini_cooper_31693627.html; 2016 ;16 400;459 200;Киев
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31701344.html; 2015 ;12 000;331 200;Киев
MINI Countryman All4;https://auto.ria.com/auto_mini_countryman_31646806.html; 2015 ;16 000;449 600;Киев
MINI Cooper S Countryman;https://auto.ria.com/auto_mini_cooper_30000767.html; 2014 ;12 500;350 000;Одесса
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31930718.html; 2017 ;22 300;627 745;Одесса
MINI Countryman D John Cooper Works;https://auto.ria.com/auto_mini_countryman_31918182.html; 2014 ;17 700;500 025;Киев
MINI Countryman;https://auto.ria.com/auto_mini_countryman_31921044.html; 2018 ;31 800;910 434;Киев
MINI Countryman;https://auto.ria.com/auto_mini_countryman_31702280.html; 2012 ;13 700;381 819;Одесса
MINI Cooper;https://auto.ria.com/auto_mini_cooper_31688212.html; 2012 ;9 900;278 685;Харьков
MINI Countryman;https://auto.ria.com/auto_mini_countryman_31801554.html; 2018 ;19 900;565 160;Одесса
MINI One;https://auto.ria.com/auto_mini_one_30144293.html; 2004 ;5 100;144 840;Новоград-Волынский
MINI Countryman S All4;https://auto.ria.com/auto_mini_countryman_31948564.html; 2021 ;47 500;1 359 925;Киев
MINI Countryman Cooper S ALL 4;https://auto.ria.com/auto_mini_countryman_31554446.html; 2014 ;14 500;412 090;Одесса
MINI Cooper R56;https://auto.ria.com/auto_mini_cooper_31934083.html; 2010 ;7 200;203 400;Сокаль
MINI Countryman ALL4;https://auto.ria.com/auto_mini_countryman_31133365.html; 2019 ;23 200;653 080;Одесса
MINI Countryman Cooper S;https://auto.ria.com/auto_mini_countryman_31703919.html; 2012 ;12 900;360 168;Львов
MINI Countryman;https://auto.ria.com/auto_mini_countryman_31709051.html; 2015 ;14 700;413 952;Киев
MINI Countryman;https://auto.ria.com/auto_mini_countryman_25935141.html; 2017 ;20 500;584 455;Одесса
MINI Countryman;https://auto.ria.com/auto_mini_countryman_31924102.html; 2016 ;10 200;284 784;Киев
MINI Countryman COOPER S ALL4;https://auto.ria.com/auto_mini_countryman_31731992.html; 2013 ;11 900;333 200;Одесса
MINI Cooper Countryman  S;https://auto.ria.com/auto_mini_cooper_31727549.html; 2011 ;10 500;293 160;Хмельницкий
MINI Cooper;https://auto.ria.com/auto_mini_cooper_29460484.html; 2011 ;7 900;224 360;Днепр(Днепропетровск)
MINI Clubman;https://auto.ria.com/auto_mini_clubman_31910225.html; 2016 ;16 500;471 900;Харьков
